id,name,city,lat,lon,category,avg_spend,avg_stay_hours,rating
55,Humayun Tomb,Delhi,28.593,77.250,heritage,500,2,4.5
56,Akshardham Temple,Delhi,28.612,77.277,heritage,0,3,4.8
57,Chandni Chowk,Delhi,28.650,77.230,food,300,2,4.4
58,Connaught Place,Delhi,28.631,77.216,shopping,500,2,4.5
59,Jama Masjid,Delhi,28.650,77.233,heritage,0,1,4.4
60,Lodhi Garden,Delhi,28.593,77.221,nature,0,2,4.6
61,Rashtrapati Bhavan,Delhi,28.614,77.199,heritage,500,2,4.7
62,Sarojini Nagar,Delhi,28.575,77.198,shopping,500,3,4.3
63,Dilli Haat,Delhi,28.572,77.208,culture,200,2,4.5
64,Agrasen ki Baoli,Delhi,28.626,77.225,heritage,0,1,4.4
65,National Museum,Delhi,28.611,77.219,history,200,3,4.5
66,Hauz Khas Village,Delhi,28.553,77.194,nightlife,800,3,4.4
67,Waste to Wonder,Delhi,28.595,77.262,park,100,2,4.5
68,Mughal Gardens,Delhi,28.614,77.195,nature,0,1.5,4.6
69,Juhu Beach,Mumbai,19.098,72.826,beach,50,2,4.3
70,Siddhivinayak Temple,Mumbai,19.016,72.830,heritage,0,1.5,4.7
71,Haji Ali Dargah,Mumbai,18.982,72.812,heritage,0,1.5,4.6
72,Colaba Causeway,Mumbai,18.915,72.827,shopping,500,2,4.4
73,Chhatrapati Shivaji Terminus,Mumbai,18.940,72.835,heritage,0,0.5,4.6
74,Bandra Worli Sea Link,Mumbai,19.036,72.817,landmark,0,1,4.7
75,Kanheri Caves,Mumbai,19.209,72.906,nature,200,3,4.4
76,Powai Lake,Mumbai,19.125,72.906,nature,0,1,4.3
77,EsselWorld,Mumbai,19.231,72.805,entertainment,1000,5,4.2
78,Film City,Mumbai,19.161,72.887,entertainment,2000,4,4.5
79,Global Vipassana Pagoda,Mumbai,19.229,72.805,heritage,0,2,4.6
80,Crawford Market,Mumbai,18.947,72.834,shopping,200,1.5,4.2
81,Chowpatty Beach,Mumbai,18.954,72.816,beach,50,2,4.3
82,Mount Mary Church,Mumbai,19.046,72.822,heritage,0,1,4.5
83,Nehru Planetarium,Mumbai,18.989,72.814,science,150,2,4.4
84,Dudhsagar Falls,Goa,15.314,74.314,nature,500,4,4.7
85,Basilica of Bom Jesus,Goa,15.500,73.911,heritage,0,1.5,4.6
86,Se Cathedral,Goa,15.502,73.912,heritage,0,1,4.5
87,Anjuna Beach,Goa,15.582,73.743,beach,100,3,4.4
88,Vagator Beach,Goa,15.602,73.733,beach,100,3,4.5
89,Palolem Beach,Goa,15.009,74.023,beach,100,3,4.6
90,Colva Beach,Goa,15.275,73.914,beach,50,2,4.3
91,Chapora Fort,Goa,15.605,73.737,heritage,0,1.5,4.4
92,Dona Paula,Goa,15.451,73.805,viewpoint,50,1,4.2
93,Naval Aviation Museum,Goa,15.378,73.834,museum,100,2,4.5
94,Spice Plantation,Goa,15.424,74.015,nature,800,3,4.6
95,Saturday Night Market,Goa,15.578,73.765,shopping,500,3,4.5
96,Reis Magos Fort,Goa,15.502,73.785,heritage,100,1.5,4.4
97,Butterfly Beach,Goa,15.032,73.987,nature,200,2,4.6
98,Arambol Beach,Goa,15.686,73.702,beach,50,3,4.4
99,Nahargarh Fort,Jaipur,26.937,75.815,heritage,200,2,4.6
100,Jaigarh Fort,Jaipur,26.985,75.845,heritage,150,2,4.5
101,Jal Mahal,Jaipur,26.953,75.846,viewpoint,0,1,4.4
102,Albert Hall Museum,Jaipur,26.911,75.819,museum,300,2,4.5
103,Birla Mandir,Jaipur,26.892,75.815,heritage,0,1,4.6
104,Jantar Mantar,Jaipur,26.924,75.824,science,200,1.5,4.6
105,Galtaji Temple,Jaipur,26.917,75.859,heritage,0,2,4.4
106,Chokhi Dhani,Jaipur,26.764,75.836,culture,1000,4,4.7
107,Bapu Bazaar,Jaipur,26.919,75.816,shopping,500,2,4.3
108,Johari Bazaar,Jaipur,26.920,75.825,shopping,500,2,4.4
109,Sisodia Rani Garden,Jaipur,26.895,75.857,nature,100,1.5,4.2
110,Central Park,Jaipur,26.904,75.805,nature,0,1.5,4.4
111,Panna Meena Ka Kund,Jaipur,26.986,75.838,heritage,0,1,4.5
112,Raj Mandir Cinema,Jaipur,26.913,75.808,entertainment,300,3,4.6
113,Govind Dev Ji Temple,Jaipur,26.927,75.824,heritage,0,1,4.7
114,Bannerghatta National Park,Bengaluru,12.800,77.577,nature,500,4,4.5
115,ISKCON Temple,Bengaluru,13.009,77.551,heritage,0,1.5,4.7
116,Tipu Sultan Palace,Bengaluru,12.959,77.573,heritage,100,1.5,4.3
117,Visvesvaraya Museum,Bengaluru,12.975,77.596,science,100,3,4.5
118,Commercial Street,Bengaluru,12.982,77.608,shopping,500,2,4.4
119,UB City,Bengaluru,12.972,77.596,shopping,1000,2,4.6
120,Wonderla,Bengaluru,12.834,77.401,entertainment,1500,6,4.7
121,Nandi Hills,Bengaluru,13.370,77.683,nature,200,4,4.6
122,Ulsoor Lake,Bengaluru,12.983,77.622,nature,0,1.5,4.2
123,Jawaharlal Nehru Planetarium,Bengaluru,12.984,77.589,science,100,2,4.3
124,Karnataka Chitrakala Parishath,Bengaluru,12.985,77.580,art,50,2,4.4
125,St. Mary Basilica,Bengaluru,12.985,77.604,heritage,0,1,4.5
126,Bull Temple,Bengaluru,12.942,77.568,heritage,0,1,4.4
127,Orion Mall,Bengaluru,13.011,77.555,shopping,500,3,4.5
128,Phoenix Marketcity,Bengaluru,12.996,77.696,shopping,500,3,4.4
129,Taj Mahal,Agra,27.1751,78.0421,heritage,1100,2,4.8
130,Agra Fort,Agra,27.1795,78.0211,heritage,600,2,4.6
131,Mehtab Bagh,Agra,27.1800,78.0420,nature,200,1,4.4
132,Itmad-ud-Daulah,Agra,27.1917,78.0312,heritage,300,1.5,4.5
133,Fatehpur Sikri,Agra,27.0945,77.6679,heritage,500,3,4.7
134,Sadar Bazaar,Agra,27.1606,78.0081,shopping,500,2,4.3
135,Akbar Tomb,Agra,27.2205,77.9507,heritage,200,1.5,4.4
136,Jama Masjid Agra,Agra,27.1852,78.0069,heritage,0,1,4.4
137,City Palace,Udaipur,24.5764,73.6835,heritage,300,2,4.6
138,Lake Pichola,Udaipur,24.5713,73.6763,nature,500,2,4.7
139,Jag Mandir,Udaipur,24.5670,73.6775,heritage,300,1.5,4.5
140,Fateh Sagar Lake,Udaipur,24.6006,73.6742,nature,200,2,4.5
141,Saheliyon Ki Bari,Udaipur,24.6033,73.6934,nature,100,1,4.4
142,Bagore Ki Haveli,Udaipur,24.5794,73.6811,culture,200,1.5,4.6
143,Monsoon Palace,Udaipur,24.5828,73.6490,viewpoint,200,2,4.4
144,Jagdish Temple,Udaipur,24.5795,73.6845,heritage,0,1,4.5
145,Kashi Vishwanath,Varanasi,25.3109,83.0107,heritage,0,2,4.8
146,Dashashwamedh Ghat,Varanasi,25.3076,83.0101,culture,0,2,4.7
147,Sarnath,Varanasi,25.3762,83.0227,heritage,200,3,4.6
148,Assi Ghat,Varanasi,25.2954,83.0066,culture,0,2,4.5
149,Banaras Hindu University,Varanasi,25.2677,82.9913,education,0,2,4.5
150,Ramnagar Fort,Varanasi,25.2750,83.0253,heritage,100,2,4.2
151,Manikarnika Ghat,Varanasi,25.3105,83.0143,culture,0,1,4.4
152,Bharat Mata Mandir,Varanasi,25.3184,82.9904,heritage,50,1,4.3
153,Fort Kochi,Kochi,9.9647,76.2407,heritage,0,2,4.6
154,Mattancherry Palace,Kochi,9.9582,76.2592,heritage,50,1,4.4
155,Chinese Fishing Nets,Kochi,9.9696,76.2393,culture,0,1,4.5
156,Marine Drive Kochi,Kochi,9.9806,76.2755,viewpoint,0,1.5,4.4
157,Santa Cruz Basilica,Kochi,9.9649,76.2417,heritage,0,1,4.5
158,Hill Palace Museum,Kochi,9.9535,76.3629,museum,100,2,4.4
159,Cherai Beach,Kochi,10.1388,76.1785,beach,50,3,4.5
160,Jew Town,Kochi,9.9576,76.2598,shopping,0,1.5,4.3
161,Hadimba Temple,Manali,32.2483,77.1802,heritage,50,1,4.6
162,Solang Valley,Manali,32.3126,77.1558,adventure,500,4,4.7
163,Rohtang Pass,Manali,32.3705,77.2464,adventure,500,5,4.8
164,Mall Road,Manali,32.2396,77.1887,shopping,300,2,4.4
165,Old Manali,Manali,32.2530,77.1724,culture,200,2,4.5
166,Vashisht Baths,Manali,32.2612,77.1896,nature,0,1,4.3
167,Manu Temple,Manali,32.2559,77.1736,heritage,0,1,4.4
168,Jogini Falls,Manali,32.2625,77.1931,nature,0,3,4.6
169,Peter Cat,Kolkata,22.555,88.351,food,800,1.5,4.6
170,Flurys,Kolkata,22.555,88.351,food,500,1,4.5
171,Arsalan,Kolkata,22.543,88.363,food,400,1.5,4.7
172,Bhojohori Manna,Kolkata,22.518,88.361,food,400,1,4.5
173,Karim Hotel,Delhi,28.650,77.233,food,500,1.5,4.4
174,Paranthe Wali Gali,Delhi,28.656,77.230,food,200,1,4.5
175,Bukhara,Delhi,28.601,77.170,food,3000,2,4.8
176,Indian Accent,Delhi,28.591,77.238,food,4000,2,4.9
177,Bademiya,Mumbai,18.915,72.833,food,500,1,4.3
178,Leopold Cafe,Mumbai,18.915,72.833,food,800,1.5,4.4
179,Britannia & Co,Mumbai,18.932,72.839,food,600,1,4.5
180,Gajalee,Mumbai,19.098,72.859,food,1200,2,4.7
181,Fisherman Wharf,Goa,15.176,73.951,food,1000,2,4.6
182,Gunpowder,Goa,15.605,73.784,food,800,1.5,4.5
183,Britto's,Goa,15.555,73.751,food,600,2,4.4
184,Mumbais Famous Vada Pav,Goa,15.498,73.821,food,100,0.5,4.3
185,LMB,Jaipur,26.920,75.824,food,500,1,4.2
186,Rawat Mishthan Bhandar,Jaipur,26.921,75.795,food,200,0.5,4.6
187,Chokhi Dhani Dining,Jaipur,26.764,75.836,food,800,2,4.7
188,Suvarna Mahal,Jaipur,26.892,75.811,food,3000,2,4.8
189,Vidyarthi Bhavan,Bengaluru,12.943,77.572,food,150,1,4.7
190,MTR,Bengaluru,12.952,77.585,food,300,1,4.5
191,Koshy's,Bengaluru,12.975,77.601,food,500,1.5,4.2
192,Toit,Bengaluru,12.979,77.640,food,1000,2,4.6
193,Ambrai,Udaipur,24.571,73.682,food,1200,2,4.5
194,Jheel's Ginger Coffee Bar,Udaipur,24.579,73.681,food,300,1,4.4
195,Dasaprakash,Agra,27.160,78.006,food,400,1,4.3
196,Pinch of Spice,Agra,27.168,78.016,food,800,1.5,4.5
197,Kashi Chat Bhandar,Varanasi,25.310,83.003,food,100,0.5,4.7
198,Blue Lassi,Varanasi,25.311,83.013,food,150,0.5,4.6
199,Kashi Art Cafe,Kochi,9.965,76.242,food,400,1,4.5
200,Oceanos,Kochi,9.957,76.244,food,600,1.5,4.4
201,Johnson's Cafe,Manali,32.245,77.189,food,500,1.5,4.4
202,Cafe 1947,Manali,32.253,77.172,food,600,1.5,4.5
